Country,Year,Cap_and_trade
Austria,2005,1
Belgium,2005,1
Bulgaria,2005,1
Croatia,2005,1
Cyprus,2005,1
Czech Republic,2005,1
Denmark,2005,1
Estonia,2005,1
Finland,2005,1
France,2005,1
Germany,2005,1
Greece,2005,1
Hungary,2005,1
Ireland,2005,1
Italy,2005,1
Latvia,2005,1
Lithuania,2005,1
Luxembourg,2005,1
Malta,2005,1
Netherlands,2005,1
Poland,2005,1
Portugal,2005,1
Romania,2005,1
Slovakia,2005,1
Slovenia,2005,1
Spain,2005,1
Sweden,2005,1
United States,2009,1
United States,2009,1
United States,2009,1
United States,2009,1
United States,2009,1
United States,2009,1
United States,2009,1
United States,2009,1
United States,2009,1
United States,2013,1
Canada,2019,1
China,2013,1
South Korea,2015,1
Japan,2010,1
New Zealand,2008,1
